"from_user_id","to_user_id","betweenness"
"753","3354",98.3875822381005
"527","1738",120.551157176157
"527","3636",58.6261904761905
"527","3636",58.6261904761905
"3383","3415",1
"527","3646",180
"1924","233",89.5
"1924","233",89.5
"3651","1831",553.254132020822
"3651","3655",101.237953671264
"1947","3651",368.492085692086
"463","3660",181
"145","3538",180
"145","3661",35.1428571428571
"477","3665",360
"3665","3653",181
"3671","527",8977.6823076757
"753","3673",40.3112657126241
"753","3673",40.3112657126241
"753","3673",40.3112657126241
"152","3656",1
"1924","3673",4
"753","3673",40.3112657126241
"6","2176",25.5555555555556
"3671","3576",167.687126048155
"3650","3673",14.4773519163763
"540","3673",15.0935791154113
"540","3673",15.0935791154113
"753","3673",40.3112657126241
"540","3673",15.0935791154113
"540","3673",15.0935791154113
"3619","3582",0.5
"540","2157",1439.97674856355
"18","1831",67.6556285812094
"6","1831",846.564889530759
"540","540",0
"753","3354",98.3875822381005
"540","3466",60.0000000000001
"6","1738",8.64664747017688
"2157","3636",22.7797619047619
"3724","3716",1
"3526","1084",6.5
"540","2157",1439.97674856355
"540","753",24.9097796717761
"2128","2128",0
"18","1738",4.6
"3661","3661",0
"18","3732",180
"2157","3704",41.6244334097275
"18","1237",4.97063357063357
"6","3671",188.118446728776
"540","3737",180
"3747","753",466
"630","630",0
"630","630",0
